,id,concept_name,ts_code,name
0,TS25,MSCI,002024.SZ,苏宁易购
1,TS40,阿里巴巴概念股,002024.SZ,苏宁易购
2,TS51,大消费,002024.SZ,苏宁易购
3,TS62,金改,002024.SZ,苏宁易购
4,TS69,混改,002024.SZ,苏宁易购
5,TS98,回购,002024.SZ,苏宁易购
6,TS105,新零售,002024.SZ,苏宁易购
7,TS112,参股券商,002024.SZ,苏宁易购
8,TS123,供应链金融,002024.SZ,苏宁易购
9,TS142,物联网,002024.SZ,苏宁易购
10,TS153,无人驾驶,002024.SZ,苏宁易购
11,TS160,恒大概念股,002024.SZ,苏宁易购
12,TS161,智慧物流,002024.SZ,苏宁易购
13,TS192,万达系,002024.SZ,苏宁易购
14,TS221,智能制造,002024.SZ,苏宁易购
15,TS223,直播/短视频,002024.SZ,苏宁易购
16,TS227,互联网金融,002024.SZ,苏宁易购
17,TS236,快递物流,002024.SZ,苏宁易购
18,TS238,移动支付,002024.SZ,苏宁易购
19,TS247,进口博览会,002024.SZ,苏宁易购
20,TS261,区块链,002024.SZ,苏宁易购
21,TS263,足球,002024.SZ,苏宁易购
22,TS268,无人商店,002024.SZ,苏宁易购
23,TS315,独角兽,002024.SZ,苏宁易购
